"","id","entidade_nome","entidade_documento","ano","categoria","origem","especie","rubrica","alinea","subalinea","fonte","valor"
"1",165887,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125001000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","10010000000 - RECURSOS ORDINÁRIOS","647912.12"
"2",165886,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125001000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","11110000000 - TRANSF. DE IMPOSTOS - MDE","269963.38"
"3",165888,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125001000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","12110000000 - RECEITA DE IMPOSTOS E TRANSFERÊNCIA DE IMPOSTOS - SAÚDE","161978.03"
"4",165890,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125002000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora","10010000000 - RECURSOS ORDINÁRIOS","6309.20"
"5",165891,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125002000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora","11110000000 - TRANSF. DE IMPOSTOS - MDE","2628.84"
"6",165889,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125002000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora","12110000000 - RECEITA DE IMPOSTOS E TRANSFERÊNCIA DE IMPOSTOS - SAÚDE","1577.30"
"7",165892,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125003000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa","10010000000 - RECURSOS ORDINÁRIOS","41817.64"
"8",165893,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125003000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa","11110000000 - TRANSF. DE IMPOSTOS - MDE","17424.02"
"9",165894,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125003000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa","12110000000 - RECEITA DE IMPOSTOS E TRANSFERÊNCIA DE IMPOSTOS - SAÚDE","10454.41"
"10",165895,"Prefeitura Municipal de Santa Teresa","27.167.444/0001-72",2022,"10000000000 - Receitas Correntes","11000000000 - Impostos, Taxas e Contribuições de Melhoria","11100000000 - Impostos","11120000000 - Impostos sobre o Patrim.","11125000000 - Imposto sobre a Propriedade Predial e Territorial Urbana","11125004000 - Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora da Dívida Ativa","10010000000 - RECURSOS ORDINÁRIOS","32524.83"
